100 1000 5 14
70 89 30 55 72
23 76 99 32 2
38 12 72 65 80
12 5 82 45 13
82 11 53 43 87
95 72 87 78 30
71 29 30 12
70 9 28 24 2
18 4 5 95 14
68 37 88 32 86
67 18 44 36
32 97 95 41 70
15 36 95 32 99
12 32 82 76 5
15 14 5 4 66
55 95 18 30 28
51 47 32 17 50
56 18 30 38 15
5 28 70 72 4
42 1 76 10 56
70 12 85 18 15
72 35 82 95 18
50 83 32 41 75
70 29 72 5 11
78 36 5 30 97
30 65 36 28 32
18 72 76 55 14
55 30 71 87
87 36 12 70 32
78 72 55 87 65
76 17 72 20 15
65 15 46 36 29
70 5 30 39 87
45 87 14 21
29 78 87 65 5
14 55 76 15 95
70 82 14 5 36
87 28 65 4 12
55 76 32 65 4
87 12 62 96 29
18 72 39 15 70
45 30 83 81 38
4 30 17 96 95
84 29 21 83 55
5 8 18 4 72
5 55 76 44 64
15 78 12 4 82
5 76 30 87 4
65 30 64 76
1 60 95 15 54
30 62 15 19 55
4 15 87 5 65
70 28 18 12 36
70 62 28 46 31
32 79 82 55
70 47 28 36 31
36 89 27 29 65
14 76 78 15 29
18 87 14 51 76
32 15 76 72 16
28 27 24 15 18
15 12 28 76 5
38 65 78 32
30 76 12 82 18
4 5 32 36 18
67 32 61 12 82
65 72 29 32 28
17 78 4 72 63
76 60 30 57 32
28 32 78 72 22
70 5 14 32 30
82 53 36 29 95
15 28 54 88 76
55 72 30 65 82
81 91 76 36 28
18 29 4 88 28
53 38 78 21 52
43 78 55 26 86
65 79 38 49 55
95 76 36 12 18
65 70 15 32 76
4 55 27 65 72
87 76 95 30 15
87 79 20 30 52
32 9 28 18 82
29 78 82 30 74
72 78 14 12 18
55 14 82 32 95
14 82 30 88 95
70 97 78 28 18
64 76 14 95 4
27 30 71 65 82
90 65 94 36 48
78 21 18 29 14
68 93 72 67 95
50 70 12 14 28
28 15 55 36 30
5 30 47 95 32
70 62 95 12 78
96 14 28 35 19
5 14 18 76
55 20 65 86 81
70 36 28 30 79
95 82 15 32 29
56 82 72 65 12
65 72 18 29 79
64 76 5 87 4
4 78 76 72 8
89 72 76 79 14
73 82 95 36 67
55 7 95 3 88
18 36 87 76 4
32 30 67 87 3
32 65 36 5 72
28 65 45 18 81
72 30 82 85
78 72 28 82 87
40 65 57 42 38
4 52 80 18 55
32 4 29 36
72 16 28 33 29
73 14 24 36 5
47 87 28 55 100
78 20 8 48 14
25 76 20 5 100
55 15 70 75 32
87 12 22 15
12 79 78 14 1
50 4 18 32 69
99 65 95 24 13
36 76 90 14 49
47 78 32 33 55
12 65 46 14 87
78 73 72 86 24
36 87 70 55 65
20 4 11 18 36
14 78 15 72 12
5 4 56 12 15
87 30 15 14 4
25 18 53 54 19
32 95 12 55 5
65 91 5 94 56
65 18 72 22 77
87 52 15 72 82
83 82 70 78 95
12 78 36 37 14
22 57 76 78 4
78 15 74 87 95
55 94 78 12 13
53 87 32 57 33
72 30 4 23 78
15 4 55 28 27
58 20 65 40 28
12 70 4 55 42
17 35 87 72 82
16 29 12 9 73
95 70 31 48 82
55 30 63 65 76
87 21 70 32 15
37 76 92 67
18 91 95 76 30
65 82 5 15 18
32 12 82 65 36
14 88 3 82 90
73 4 76 36 53
55 70 36 5 87
29 65 72 36 87
78 65 95 4 12
87 94 72 45 55
27 32 82 77 62
8 12 78 14 82
28 17 48 76 23
99 7 72 29 93
61 76 15 18 55
78 5 15 18 95
76 87 15 30 29
32 87 15 55 69
70 78 30 94 12
89 29 5 82 32
4 12 53 37 45
57 32 16 92 66
87 78 63 72 5
28 14 82 5 30
46 45 78 66 29
65 15 29 36 32
84 30 5 78 93
65 72 32 5 78
76 70 12 83
95 14 21 33 42
55 72 70 87 26
28 18 87 32 72
29 95 65 5 55
55 14 87 31 4
84 76 78 20 82
63 36 54 28 90
87 70 78 82 29
54 14 34 82 38
70 15 50 14 42
18 87 30 4 38
93 36 70 29 30
46 73 14 68 30
88 72 89 34 11
20 29 70 32 28
2 63 95 52 14
32 18 87 36
6 91 36 39 3
12 78 87 5 70
77 5 32 65 10
14 32 70 76 12
28 12 29 48 85
65 70 4 80 95
98 18 55 39 72
78 70 18 65
10 60 33 78 45
15 4 76 28 70
36 54 39 58 5
55 78 87 92 72
87 6 37 15 55
18 72 44 63 60
19 36 93 39 28
89 15 65 4 82
32 72 5 51 55
32 58 61 55 85
57 49 15 12 71
72 30 25 78 4
65 91 46 82 28
87 70 32 60 15
78 87 32 82 15
4 78 65 14 36
78 32 12 5 36
32 70 15 30 99
58 5 29 32 18
40 15 17 75 31
2 36 14 30 55
65 55 12 15 95
68 47 14 95 76
2 7 1 65 70
14 18 20 87 12
76 72 4 36 95
64 4 93 87 5
78 14 4 32 39
62 50 4 93 5
14 55 29 95 5
82 5 14 28 36
36 76 70 58 52
23 78 69 39 65
70 4 15 9 12
30 97 67 65 15
4 36 5 29
76 4 87 65 50
70 5 12 79 81
36 28 15 18 4
5 31 82 18 36
95 18 28 78 4
95 70 36 65 33
95 4 15 42 14
36 76 95 15 32
29 93 32 71 60
30 24 55 18 5
87 82 4 12 55
18 65 95 12 30
48 97 69 95 36
12 44 29 34 81
95 28 82 72 32
78 55 29 70 72
18 74 38 23 87
18 5 29 46 38
78 36 12 29 15
18 32 79 64 87
60 49 100 86 55
18 23 93 70 44
43 28 74 51 40
70 76 65 22 41
58 17 46 67 28
47 76 38 79 32
15 29 55 87 14
95 76 12 72 15
78 65 57 4 14
29 36 70 18 78
35 49 12 13 53
90 46 9 29
88 50 14 70 95
5 55 28 12 36
34 18 58 52 84
36 87 18 72 78
96 15 12 36 29
32 100 12 36 17
32 29 71 65 67
82 65 32 95 87
82 65 34 36 98
15 28 95 5 70
12 18 10 72 5
82 45 29 54 4
37 15 30 91 72
12 36 82 98 87
55 32 73 5 87
87 99 29 48
56 82 41 42 92
65 87 15 28 83
31 72 16 65 82
28 12 32 82 18
14 28 55 78 72
78 32 15 47
96 37 14 64 5
32 83 88 95 55
65 59 2 52 83
29 23 19 16 95
32 95 93 48 82
13 75 82 87 12
43 77 4 12 36
15 52 95 80 6
78 93 21 95 82
58 4 28 75 15
95 29 4 82 78
93 70 29 86 48
52 76 43 41 12
87 28 12 15 36
23 5 72 78 87
37 94 68 28 2
70 40 75 98 36
43 76 95 24 29
28 78 12 52 76
18 14 28 63 72
16 68 39 63 32
51 65 28 87 29
46 86 12 89 55
89 65 44 87 17
28 65 78 72 30
77 76 12 28 14
82 36 65 15 12
25 6 55 12 72
17 4 12 87 54
58 82 76 70 78
34 51 70 77 28
29 85 28 54 4
60 58 72 4
4 12 29 87 51
55 52 68 76 26
14 28 55 5 29
36 18 69 16 5
85 17 29 27
83 36 47 20 25
14 32 26 81
15 61 70 82 4
94 36 18 30 95
78 32 95 72 84
28 22 41 32 95
70 25 28 55 48
70 82 15 79 78
95 86 12 65 87
4 18 90 22 87
14 48 95 83 87
51 32 36 70 61
64 32 14 80 41
32 72 25 77 65
14 70 80 32 36
23 89 95 76 72
14 61 62 32 5
82 55 95 5 30
44 39 14 87 75
32 55 30 36 82
2 78 46 12 69
76 55 74 26 10
12 51 14 15 82
59 27 65 51 15
32 55 30 27 36
32 30 87 14 78
6 23 5 15 65
45 55 15 28 95
87 36 19 13 10
30 32 82 55 4
82 60 95 87 40
5 46 66 96 84
5 15 36 29 70
76 4 78 14 72
29 78 17 76
67 87 55 36 12
4 28 55 76 14
52 65 68 15 98
4 55 48 91 5
5 55 30 8
72 5 55 95 14
82 5 95 32 30
70 45 5 78 76
11 14 88 54 4
97 70 5 87 28
2 36 4 87 65
85 25 15 49 29
36 82 28 55 12
84 57 59 21 5
65 4 55 28 87
30 2 15 58 56
3 55 12 5 72
70 18 30 72 93
28 29 12 32
16 29 32 80 50
15 65 14 82 12
23 70 44 62 13
14 15 36 95 30
78 95 15 65 72
87 5 88 50 77
29 42 44 77 25
14 38 67 76 37
30 55 72 5 80
9 95 32 30 99
64 72 36 6 91
70 82 14 12 87
12 65 29 5 89
34 75 65 73 13
87 65 70 30 32
99 6 87 55 12
15 95 45 58 76
65 18 87 12 78
18 95 70 30 29
78 55 4 15 43
68 41 56 78 12
36 51 32 28 55
5 16 28 56 4
12 53 78 87 15
5 82 36 55 78
95 12 7 82 65
36 70 28 76 5
70 67 80 41 4
4 82 58 32 14
58 72 6 65
79 2 65 18 25
15 28 34 82 78
95 55 65 4 14
62 31 36 41 17
76 95 70 90 15
51 78 18 24
5 7 55 65 3
41 9 65 36 31
18 5 65 55 32
49 15 94 82 60
30 87 4 32 15
65 14 22 88 51
70 18 65 14 22
72 68 42 91 48
65 84 4 68
95 38 32 82 5
20 82 69 71 14
15 28 91 71 14
56 50 66 14 57
57 36 26 53 23
82 72 5 65 14
14 30 50 5 95
40 54 92 32 14
20 4 55 92 33
14 70 25 78 82
78 62 18 30 4
15 90 92 70 38
55 11 6 72 4
60 76 72 24 66
82 95 70 72 46
72 85 60 91
19 14 55 28 5
36 55 30 87 12
59 30 82 12 68
65 79 29 12 78
42 78 87 70 72
65 47 18 82 72
37 82 29 76 32
77 20 87 59 5
14 72 32 34 18
68 92 3 32 85
5 67 12 81 18
36 14 54 89 19
54 19 78 79 15
21 78 30 9 89
32 5 28 30 12
15 28 76 21 14
55 87 58 94 89
4 59 36 45 87
12 72 28 32 55
9 14 36 4 85
4 21 8 95 20
74 76 36 100 72
52 48 72 82 76
28 79 76 18 52
55 72 56 45 21
28 34 42 12 82
76 36 15 70 78
70 76 28 29 95
4 69 56 32 11
7 29 24 76 66
70 99 40 55 13
36 29 44 72 87
14 30 29 72 5
18 70 72 30 92
35 65 92 87 85
39 18 55 32 5
89 14 54 67 32
72 70 4 95 12
70 47 8 30 15
2 92 76 15 12
55 25 96 4 15
95 87 76 32 72
72 36 12 5 18
15 76 87 5 95
18 20 12 91 2
10 18 84 96 67
70 29 65 63 94
66 2 95 12 33
65 37 14 7 4
93 80 26 57 65
64 89 32 70
75 45 52 72 92
18 87 55 65 95
29 28 87 21 16
65 36 70 77 14
34 54 85 25 18
4 5 82 32 70
60 36 84 29 10
32 87 25 29 5
29 4 5 28 14
30 78 77 5 55
73 60 16 87 26
28 70 65 4 14
38 41 74 87 82
87 28 55 89 4
76 35 55 78 14
78 55 28 4 18
61 72 26 36 5
4 78 30 76 91
59 74 76 30 65
31 29 40 94 14
53 66 55 74 18
57 51 32 28 12
45 88 14 99 29
9 3 87 13 7
67 79 15 27 96
72 30 14 28 48
12 18 38 70 67
88 41 84 93 5
12 62 66 5 48
74 97 88 12 68
30 74 28 95 55
55 68 31 4 28
29 18 78 65
33 32 29 93 39
88 70 10 65 28
76 55 23 18 65
70 75 94 12
78 82 60 87 15
30 36 1 11 18
28 29 75 15 5
50 29 78 71 28
15 78 93 18 86
40 35 65 48 43
76 33 10 65 29
70 78 32 36 5
12 68 58 82 73
48 36 95 12
4 18 49 76 25
28 87 66 5
13 65 4 23 91
55 87 32 76 28
2 82 65 19 56
1 95 32 70 87
78 9 26 29 66
66 55 32 98 65
12 36 70 5 28
4 22 18 86 15
27 4 55 36
68 21 95 14 15
36 70 32 30 55
55 14 11 13 7
97 38 18 1 14
12 78 28 87 95
32 95 15 76 70
78 14 36 82 69
12 15 55 14 18
30 14 55 87 53
55 70 8 64 4
97 87 88 50 56
95 76 82 29 65
61 15 97 68 30
43 96 30 36 12
95 30 65 49 18
83 47 4 87 30
11 35 30 47 72
16 50 55 52 9
18 28 37 76 38
36 55 12 32 1
36 91 75 17 40
13 49 69 55 50
13 82 35 69 2
28 72 78 9 87
14 95 32 18 65
62 30 19 63 86
15 14 36 43 29
55 23 18 30 87
95 87 37 12 72
48 82 75 6 22
31 12 28 10 70
78 24 12 28 30
97 89 72 95 5
62 95 4 31 48
65 55 72 76 90
94 55 51 42 7
7 96 87 15 98
78 30 5 39 41
1 78 29 60 93
18 87 14 56
28 15 93 14 36
33 64 12 98 95
87 72 63 15 70
82 78 14 98 54
65 23 29 72 82
44 18 73 5 15
29 95 32 28 72
32 76 19 69 15
10 76 30 2 14
15 9 25 63 36
90 76 14 29 82
15 70 13 63 65
23 1 30 89 42
72 76 87 18 69
12 62 87 95 36
55 34 43 30 19
12 14 82 28 72
73 5 79 36 76
100 19 36 4 70
36 81 28 55 70
