200 1500 5 20
2 18 22 25 146 
9 52 64 141 178 
9 12 21 22 25 
1 21 23 82 130 
8 16 22 24 124 
12 27 35 109 177 
4 24 25 63 154 
9 22 23 25 166 
1 16 65 151 177 
4 18 23 65 156 
17 22 110 130 159 
3 10 21 109 116 
3 21 23 24 48 
6 15 23 121 131 
16 20 22 24 51 
2 20 21 24 127 
17 23 31 52 125 
10 20 21 23 25 
15 18 24 101 198 
4 20 24 77 128 
14 23 24 25 104 
14 24 35 72 154 
11 23 46 109 127 
4 5 42 85 148 
3 25 30 158 195 
4 8 22 97 121 
2 18 23 26 161 
10 13 21 23 196 
4 21 23 96 115 
4 22 24 25 106 
14 20 23 40 124 
13 21 23 25 174 
2 3 22 25 60 
6 22 24 41 172 
1 18 21 25 199 
5 12 24 171 178 
15 16 22 25 40 
6 21 23 25 140 
3 14 22 58 108 
5 23 25 78 142 
5 6 23 50 188 
8 14 50 84 156 
7 11 22 24 178 
15 17 22 144 146 
2 23 24 61 154 
5 24 63 161 199 
6 23 24 26 147 
13 22 24 91 136 
10 21 94 137 146 
6 10 23 25 129 
13 21 22 24 186 
19 24 50 72 102 
4 7 63 69 72 
5 16 23 69 176 
11 13 23 33 186 
18 25 89 107 196 
20 21 33 133 143 
20 24 86 136 140 
8 13 21 23 159 
15 17 64 83 124 
19 20 23 24 127 
7 8 22 89 94 
1 3 25 76 171 
2 21 22 25 79 
14 21 23 54 91 
1 6 22 115 122 
7 17 24 114 200 
5 21 25 76 82 
5 19 23 121 199 
19 22 25 47 122 
12 23 24 52 84 
5 16 22 41 90 
11 12 23 25 125 
15 23 24 53 126 
10 23 25 75 78 
8 22 25 29 78 
14 22 99 122 171 
12 19 23 45 172 
10 21 22 24 148 
4 22 26 125 190 
2 18 24 26 176 
19 21 53 67 85 
11 15 24 119 163 
10 23 95 114 154 
14 22 24 162 180 
18 101 104 139 183 
5 20 24 29 99 
19 22 24 117 122 
6 19 22 37 48 
13 21 22 25 26 
6 23 25 115 155 
6 12 22 23 74 
2 16 21 134 154 
1 25 35 119 184 
19 78 150 158 187 
3 21 128 154 192 
4 21 23 24 34 
11 12 50 74 105 
20 21 22 23 135 
7 63 69 185 188 
3 11 25 132 192 
20 22 23 24 118 
14 23 25 26 88 
5 23 25 51 97 
5 17 23 25 74 
18 25 120 122 173 
17 21 44 67 101 
7 14 39 102 190 
5 21 81 138 190 
8 18 21 126 179 
18 21 78 85 170 
9 24 25 73 83 
20 22 25 151 169 
4 19 21 24 41 
13 20 24 99 115 
1 21 23 24 162 
10 23 24 44 106 
10 16 23 64 83 
15 22 23 37 61 
2 10 25 118 144 
8 21 23 91 114 
9 25 62 146 186 
3 4 22 75 98 
9 11 110 124 147 
7 14 22 23 46 
5 25 157 169 179 
11 76 78 188 196 
9 21 80 106 187 
5 24 25 73 98 
5 22 25 87 104 
7 66 105 107 142 
13 21 25 133 181 
13 18 52 121 169 
4 12 22 25 74 
16 49 145 160 177 
4 15 23 24 146 
3 19 22 24 68 
8 13 23 45 142 
5 8 110 116 175 
16 23 24 58 167 
17 22 23 24 158 
10 19 21 126 154 
1 14 50 108 181 
1 22 84 104 137 
9 19 22 102 134 
14 22 24 155 163 
13 30 99 181 190 
2 23 34 133 161 
19 85 103 115 132 
8 12 22 24 45 
11 14 147 152 187 
1 6 21 67 77 
16 22 25 51 188 
5 22 24 25 128 
1 21 30 51 85 
15 96 97 146 178 
14 23 77 103 151 
1 24 25 98 125 
9 11 21 22 25 
1 13 30 85 112 
12 20 72 118 175 
7 22 24 44 136 
8 16 22 25 107 
3 19 23 66 159 
16 41 55 63 83 
9 24 25 45 110 
17 22 52 92 150 
11 15 34 129 144 
2 26 105 138 144 
8 12 24 40 43 
15 24 73 112 174 
20 23 81 102 173 
6 24 25 122 182 
6 11 22 159 183 
6 24 32 52 117 
18 22 23 93 170 
5 24 28 74 180 
19 24 25 124 126 
7 10 138 182 191 
9 19 21 24 129 
10 14 24 84 187 
12 20 32 91 127 
5 18 21 22 24 
8 21 67 115 187 
13 23 25 142 146 
10 19 25 53 122 
8 21 23 25 43 
11 13 24 32 163 
4 9 23 51 159 
5 64 92 146 163 
7 20 22 69 117 
7 16 22 24 186 
5 11 21 136 176 
12 19 55 139 163 
8 16 22 31 173 
9 21 23 28 88 
14 21 24 60 176 
9 25 112 171 182 
11 21 23 24 169 
6 22 23 24 165 
17 18 25 42 99 
7 19 22 23 68 
8 21 99 104 188 
20 21 23 70 169 
7 14 23 52 101 
16 18 21 104 168 
19 21 99 143 190 
4 15 21 25 155 
3 10 46 177 188 
12 22 24 25 177 
15 23 25 69 85 
20 122 152 161 194 
20 21 24 32 71 
3 19 24 198 200 
18 25 48 118 120 
17 23 91 114 171 
6 22 54 86 116 
7 58 70 118 194 
15 22 23 24 28 
13 23 55 74 173 
14 18 22 23 61 
3 23 25 27 61 
20 23 41 61 109 
14 19 28 71 89 
2 6 22 25 80 
16 30 37 80 159 
4 14 23 60 85 
2 21 23 113 136 
3 6 23 67 148 
8 23 25 64 115 
2 12 28 125 167 
16 25 37 59 74 
3 10 22 23 101 
10 12 33 93 183 
14 24 106 148 199 
10 22 23 38 172 
2 22 25 87 92 
18 27 142 188 191 
5 23 25 161 196 
7 21 25 31 74 
19 21 22 98 103 
5 14 25 113 159 
2 21 23 99 135 
10 16 77 102 198 
15 19 72 101 172 
2 10 22 152 172 
9 22 101 117 138 
11 21 25 50 174 
10 17 23 106 143 
14 15 24 129 150 
2 13 25 53 139 
16 24 25 111 195 
6 15 21 23 24 
2 11 25 63 122 
12 24 76 126 194 
4 21 24 55 86 
2 18 21 155 178 
1 21 23 63 126 
1 21 22 34 62 
15 21 120 137 157 
14 65 89 151 200 
20 23 88 97 162 
4 22 94 117 167 
5 12 38 157 193 
12 27 78 151 172 
5 6 54 102 200 
3 115 145 157 164 
6 11 24 34 61 
5 23 25 113 138 
11 16 22 24 110 
20 21 22 24 44 
5 24 32 56 186 
17 19 39 60 65 
16 22 24 52 88 
11 21 58 61 86 
8 20 21 38 188 
3 18 24 78 190 
6 23 58 161 199 
9 21 23 32 104 
1 21 22 100 154 
13 22 50 72 119 
14 23 24 55 136 
18 22 23 75 196 
6 16 24 64 117 
2 22 25 139 154 
1 8 24 45 60 
6 15 34 97 158 
5 23 35 97 150 
8 21 51 71 186 
4 23 25 36 106 
11 19 82 148 174 
6 21 22 23 194 
2 10 68 99 189 
5 7 21 22 63 
6 21 22 59 141 
2 9 25 31 180 
11 12 100 120 123 
13 19 21 24 25 
3 22 24 60 120 
4 10 22 25 151 
5 21 45 101 189 
18 21 25 74 166 
12 22 25 32 48 
16 18 109 184 191 
3 6 23 53 96 
18 22 101 138 167 
8 15 160 166 174 
2 15 22 106 134 
11 22 23 96 99 
13 19 22 23 24 
18 23 37 80 118 
19 21 24 122 133 
5 20 25 125 133 
9 13 21 23 183 
1 12 22 88 172 
15 20 22 23 60 
4 16 23 63 70 
2 23 55 112 163 
3 9 73 137 186 
2 18 21 24 180 
6 9 22 41 194 
8 20 105 148 179 
18 19 25 56 175 
3 7 21 23 24 
1 24 25 102 183 
16 21 66 140 143 
6 22 25 38 43 
10 13 23 24 41 
8 21 22 177 199 
8 18 21 158 184 
13 21 54 79 130 
9 20 23 106 130 
5 21 22 25 119 
15 16 22 112 114 
13 21 24 107 123 
3 19 21 22 138 
10 40 41 48 181 
2 7 56 57 160 
13 18 22 78 105 
18 22 24 84 178 
5 12 52 98 199 
3 23 53 110 172 
6 18 115 127 174 
3 17 23 143 189 
2 4 22 23 200 
4 10 24 84 102 
17 22 77 139 161 
12 17 22 25 39 
11 18 37 93 100 
12 25 26 144 148 
17 24 106 124 174 
17 19 22 23 130 
2 5 51 164 182 
5 6 23 54 68 
6 24 33 83 178 
11 23 99 185 190 
4 7 22 70 86 
10 46 67 74 128 
19 20 128 129 134 
9 18 24 25 185 
13 24 25 37 176 
11 13 23 48 183 
7 13 22 24 25 
7 17 22 35 128 
18 23 25 71 81 
1 12 23 24 121 
3 12 140 163 193 
6 13 25 59 146 
6 24 25 65 173 
2 10 24 83 198 
12 25 112 122 140 
8 9 47 117 192 
4 20 24 29 108 
16 21 36 90 189 
5 21 22 24 171 
7 9 104 113 114 
8 13 56 130 132 
11 14 25 73 101 
15 17 24 75 119 
12 25 36 133 158 
4 22 23 110 192 
8 13 35 175 195 
11 17 23 25 154 
1 15 29 36 37 
8 13 21 25 62 
4 20 21 37 39 
14 22 23 36 194 
4 18 22 113 127 
15 23 58 100 178 
5 22 24 58 168 
10 18 25 41 178 
1 24 67 81 161 
6 16 22 59 146 
11 38 74 105 135 
7 12 23 27 31 
11 18 21 114 140 
3 10 22 23 184 
1 17 57 150 175 
2 17 25 39 105 
6 21 102 138 176 
4 10 24 25 85 
20 22 23 83 170 
15 20 110 155 167 
9 16 22 130 132 
10 14 73 152 186 
3 15 22 23 166 
6 14 24 150 196 
2 7 21 34 152 
3 21 24 64 159 
8 16 23 29 78 
18 20 23 103 138 
5 10 22 115 196 
13 20 59 143 174 
18 24 25 35 160 
12 18 22 23 70 
2 21 22 24 120 
8 24 25 31 171 
8 17 21 174 195 
8 14 22 41 138 
3 7 24 114 185 
7 21 25 106 170 
14 16 30 52 116 
2 6 21 23 140 
11 97 141 195 196 
13 18 24 155 194 
20 22 24 50 187 
2 20 24 97 143 
16 21 25 46 80 
11 14 36 38 160 
20 24 25 61 87 
6 22 33 36 146 
14 21 23 117 170 
9 21 24 65 199 
18 77 93 110 164 
12 17 25 104 176 
14 21 23 59 164 
7 22 24 180 183 
12 15 51 54 106 
19 20 22 23 194 
2 9 36 63 141 
5 23 25 70 199 
6 18 25 38 197 
11 20 21 23 185 
8 13 23 86 103 
7 22 25 100 187 
3 24 41 137 196 
15 17 22 54 105 
2 14 23 45 185 
10 17 24 125 168 
14 39 43 106 176 
19 22 24 25 137 
2 24 44 69 80 
6 19 25 60 79 
10 21 52 142 192 
10 24 25 74 197 
10 24 30 159 166 
12 27 90 117 126 
8 10 22 25 81 
16 22 25 118 178 
6 21 22 99 143 
4 6 39 102 119 
2 23 25 128 189 
6 14 24 40 141 
9 18 22 155 161 
9 17 21 28 55 
1 21 80 83 95 
14 18 21 70 104 
8 22 124 168 185 
7 20 21 24 25 
2 13 25 156 159 
15 21 24 103 124 
16 17 46 53 110 
7 23 34 40 118 
5 11 22 24 134 
1 7 22 57 96 
4 167 168 174 183 
4 6 24 25 123 
14 17 25 46 89 
4 43 69 117 182 
4 7 24 63 103 
19 63 89 125 191 
14 24 88 186 198 
11 22 24 56 66 
1 10 24 108 111 
6 23 24 25 155 
2 21 23 106 180 
19 22 25 90 137 
3 7 22 55 129 
8 16 52 96 197 
6 20 92 135 175 
8 9 64 67 145 
12 14 21 52 91 
3 17 25 77 156 
4 17 21 78 152 
9 22 25 41 85 
20 21 25 75 104 
5 18 98 149 180 
20 21 57 98 182 
12 21 22 94 181 
2 11 24 58 122 
20 29 88 170 171 
3 14 22 116 185 
15 41 104 134 150 
11 14 23 24 152 
6 17 21 24 187 
2 17 30 43 136 
5 22 75 181 194 
11 14 39 80 173 
1 17 24 25 126 
20 21 22 129 187 
3 25 84 96 117 
13 27 71 163 181 
6 21 22 23 190 
17 21 22 199 200 
2 10 28 167 194 
4 12 24 73 191 
4 6 24 72 169 
3 22 25 157 159 
20 35 97 113 118 
6 14 24 44 186 
4 12 52 113 190 
9 10 23 24 32 
9 10 24 47 148 
2 23 39 113 129 
8 19 22 105 154 
10 14 25 92 142 
6 9 25 35 137 
1 21 22 24 193 
5 11 64 98 181 
8 9 21 81 168 
20 114 160 168 196 
14 22 24 28 167 
8 48 85 97 147 
8 21 156 181 182 
16 21 24 93 167 
13 18 21 60 183 
14 21 34 35 124 
13 22 24 160 191 
13 61 135 167 195 
12 25 61 93 180 
3 8 24 82 136 
12 22 24 25 151 
2 18 62 143 180 
4 13 22 23 50 
14 21 27 82 135 
13 20 24 25 70 
3 21 88 153 156 
16 18 21 24 68 
8 23 69 95 157 
15 20 21 139 183 
7 9 22 138 174 
3 15 24 25 95 
16 22 25 42 138 
4 23 32 88 109 
4 17 30 43 160 
3 24 76 141 156 
9 18 21 22 23 
15 20 21 25 40 
4 8 21 61 147 
8 24 61 133 193 
6 14 59 91 147 
18 20 23 139 177 
14 21 23 105 108 
6 11 21 27 116 
5 19 24 98 165 
8 23 130 135 163 
10 22 23 24 73 
2 23 51 128 149 
11 21 36 69 82 
11 20 61 69 106 
9 25 51 151 197 
3 8 24 25 31 
3 6 24 25 186 
10 11 24 33 36 
5 16 22 23 94 
7 21 25 29 40 
3 11 23 29 142 
7 9 23 55 139 
17 21 22 28 165 
8 9 21 38 56 
13 120 142 144 188 
11 47 58 113 142 
7 25 52 83 200 
9 17 21 25 122 
9 11 37 53 161 
10 16 23 25 118 
13 17 23 49 78 
18 21 23 24 57 
15 22 23 169 185 
2 18 22 24 165 
10 21 25 138 198 
8 24 48 146 161 
13 14 24 101 183 
15 24 70 146 200 
9 23 40 62 127 
11 21 22 25 96 
2 16 23 106 147 
19 20 22 93 105 
7 20 21 87 130 
1 22 23 24 190 
2 5 23 46 198 
2 7 24 42 92 
8 14 22 23 154 
6 10 21 22 49 
2 13 25 149 153 
2 65 122 196 198 
2 15 23 25 171 
2 9 24 100 123 
2 7 22 23 193 
6 21 24 128 184 
12 76 127 155 198 
9 10 21 22 94 
17 21 70 78 196 
19 20 22 107 200 
19 23 24 33 129 
19 39 157 166 197 
13 20 24 35 66 
3 11 24 25 81 
16 21 88 181 193 
7 8 22 24 25 
3 7 21 24 132 
11 23 70 74 113 
14 22 24 90 146 
12 21 30 118 122 
12 21 25 88 139 
2 12 22 75 111 
3 20 22 24 180 
1 15 24 25 162 
17 21 24 67 134 
6 123 134 152 190 
13 16 22 108 146 
7 10 24 117 125 
16 48 93 148 188 
3 19 22 24 43 
8 14 22 27 174 
8 20 88 98 100 
3 17 50 127 166 
17 25 92 188 189 
18 21 105 113 140 
2 24 42 92 137 
5 7 24 125 192 
17 18 22 23 194 
10 22 23 24 193 
7 18 22 23 162 
9 78 107 149 151 
20 21 22 121 152 
9 10 24 53 179 
10 11 107 145 176 
1 21 22 42 93 
19 23 58 66 150 
18 19 24 115 178 
11 22 31 152 196 
18 22 64 167 181 
12 16 32 56 61 
10 19 24 25 149 
19 22 23 24 25 
7 21 40 169 188 
9 14 22 66 188 
13 18 21 22 25 
3 25 97 127 179 
4 7 21 65 180 
4 6 24 58 177 
6 13 21 23 45 
2 15 33 110 200 
5 20 22 23 24 
15 19 23 96 157 
3 4 43 155 171 
16 66 71 114 193 
11 14 22 23 24 
7 9 25 75 95 
8 17 21 22 160 
3 9 45 54 168 
6 17 53 89 160 
4 5 22 136 182 
7 15 25 67 136 
13 20 25 167 179 
5 7 24 25 150 
12 19 40 61 153 
9 66 82 90 167 
4 12 24 92 174 
17 21 44 67 127 
12 15 24 71 98 
1 23 25 87 186 
15 18 23 77 137 
12 15 22 49 167 
4 7 68 116 126 
13 23 24 52 157 
5 9 24 25 123 
16 21 22 107 187 
2 10 21 25 39 
2 22 81 110 142 
2 23 52 151 176 
2 13 22 35 51 
9 24 25 45 59 
17 22 25 53 63 
17 19 23 95 162 
7 13 24 42 179 
10 18 24 100 168 
5 12 24 42 189 
7 22 23 83 97 
3 11 45 127 195 
10 16 24 78 85 
14 18 21 24 123 
3 12 22 124 128 
13 22 61 115 148 
13 17 23 50 102 
2 22 25 92 123 
6 22 23 58 172 
17 20 21 24 189 
2 4 24 161 187 
12 21 22 25 116 
6 22 24 117 134 
18 19 21 22 169 
8 9 24 154 163 
16 21 23 90 174 
6 153 165 175 186 
17 21 22 84 119 
13 14 21 26 93 
13 20 25 74 139 
6 10 22 23 29 
1 2 25 29 141 
15 17 23 110 172 
8 22 24 79 178 
5 20 25 107 163 
6 9 21 25 67 
20 21 23 31 101 
2 11 21 107 198 
11 18 57 105 146 
7 24 25 124 157 
15 17 23 26 197 
11 17 25 75 95 
1 23 25 123 191 
16 40 121 122 145 
6 23 90 106 179 
9 22 24 33 143 
8 13 21 26 69 
13 21 35 103 185 
16 17 21 47 67 
11 18 21 22 165 
1 12 24 143 153 
6 53 98 100 199 
7 15 23 24 46 
4 9 25 97 171 
16 22 59 172 198 
17 19 21 23 52 
13 23 175 176 178 
1 22 24 27 182 
5 22 23 63 168 
2 12 21 25 120 
19 57 65 151 175 
3 6 23 114 170 
20 128 141 162 179 
1 8 22 142 153 
7 18 23 25 46 
2 11 21 23 170 
14 19 23 25 68 
4 18 23 61 69 
3 22 58 80 151 
11 26 154 178 183 
6 12 25 90 151 
18 19 21 25 195 
15 19 22 24 64 
14 22 24 37 197 
1 21 24 25 27 
12 18 23 115 132 
15 24 25 68 193 
14 24 131 192 193 
10 14 24 62 112 
11 24 25 130 161 
6 16 24 65 105 
2 8 21 22 129 
5 23 25 54 113 
2 21 136 149 194 
7 13 42 100 132 
2 11 50 70 160 
12 14 21 24 47 
11 21 33 49 182 
16 17 23 31 150 
9 18 74 172 194 
3 23 25 116 192 
1 8 22 92 129 
11 23 24 25 81 
20 22 82 164 173 
5 19 95 111 157 
5 21 23 24 147 
7 10 76 129 146 
10 14 45 49 61 
13 22 23 138 176 
19 24 25 75 153 
9 16 37 87 140 
3 17 104 130 171 
15 16 25 73 125 
16 25 114 159 187 
8 11 46 58 148 
8 72 124 176 196 
2 11 21 23 24 
19 22 102 105 116 
9 38 70 86 101 
7 13 24 25 179 
2 6 22 23 150 
3 10 22 24 65 
2 14 22 23 25 
13 15 55 98 115 
5 9 48 75 107 
6 11 23 25 72 
9 29 45 167 168 
9 21 24 26 104 
13 24 44 123 128 
19 21 22 59 72 
6 25 126 142 174 
4 10 24 33 79 
18 21 33 113 145 
10 18 24 25 40 
8 15 23 25 85 
10 22 23 25 33 
7 20 23 24 25 
11 23 25 169 183 
16 18 24 25 88 
2 16 21 47 185 
15 16 25 107 190 
7 15 25 148 175 
2 11 23 24 149 
14 22 26 31 48 
7 14 25 27 91 
5 22 23 24 145 
12 24 25 113 121 
15 22 72 131 164 
3 6 21 23 150 
2 13 25 107 127 
9 27 55 102 107 
7 17 24 135 142 
16 21 23 102 106 
17 22 54 104 115 
10 21 23 38 190 
2 17 32 120 188 
13 22 23 24 102 
4 23 24 37 172 
11 22 23 157 197 
6 12 23 119 196 
8 19 24 94 133 
3 22 23 25 101 
5 16 23 90 182 
5 23 69 74 76 
7 21 43 103 181 
1 8 24 101 146 
4 23 80 99 187 
5 13 22 56 77 
11 58 82 86 170 
4 59 76 89 96 
8 12 23 24 91 
7 15 79 80 173 
3 11 101 156 180 
15 23 43 137 159 
5 23 107 166 182 
1 6 24 48 178 
7 21 91 102 113 
4 14 25 96 134 
4 8 24 79 95 
1 7 75 84 142 
18 20 34 63 79 
8 21 25 63 120 
2 84 94 100 169 
2 21 22 30 142 
1 21 22 24 148 
11 12 70 102 120 
10 11 24 25 51 
12 21 25 49 169 
15 22 149 152 154 
19 25 49 111 141 
9 22 25 66 149 
16 17 128 163 175 
11 20 21 25 78 
4 9 107 110 132 
6 20 23 59 138 
7 21 23 25 118 
1 7 55 78 109 
10 21 22 25 62 
1 15 115 128 179 
3 15 138 157 189 
12 19 25 121 180 
16 22 24 25 55 
5 23 39 94 128 
5 21 24 38 100 
7 21 24 105 106 
2 3 24 102 180 
20 36 52 136 177 
12 23 24 30 56 
6 23 40 136 150 
1 8 23 36 177 
5 17 22 150 186 
3 9 24 28 74 
14 18 21 84 90 
16 23 24 34 90 
11 14 24 65 77 
1 21 50 96 113 
15 25 34 196 200 
5 17 40 129 150 
11 22 24 36 162 
11 22 23 39 138 
15 19 24 29 76 
11 58 110 136 181 
4 12 22 118 187 
16 18 36 132 179 
18 22 24 66 141 
3 24 77 92 190 
15 25 41 43 195 
3 18 22 24 111 
3 21 55 94 191 
9 11 22 24 180 
6 14 21 24 186 
5 11 21 56 68 
1 2 22 23 67 
8 12 21 25 28 
13 14 21 22 82 
9 45 70 162 193 
15 18 21 23 132 
13 24 133 157 190 
2 5 45 141 173 
6 21 23 82 98 
13 17 21 26 34 
5 7 24 146 191 
12 17 24 26 186 
4 14 22 50 178 
17 44 78 150 198 
15 21 25 53 135 
6 7 21 46 123 
4 9 21 24 116 
8 23 37 76 94 
12 14 45 67 109 
15 23 55 61 71 
15 24 25 181 190 
14 24 37 108 180 
6 22 23 54 138 
17 23 57 138 191 
8 22 23 25 87 
19 22 24 151 184 
5 11 22 25 73 
2 15 22 159 167 
12 16 24 31 86 
17 21 22 23 164 
7 11 28 81 86 
10 12 22 66 112 
9 20 21 23 105 
4 8 21 23 155 
18 25 138 159 195 
16 18 21 25 70 
1 75 105 141 150 
1 6 23 24 98 
8 19 23 92 141 
20 23 25 152 165 
7 8 21 81 173 
15 21 23 25 151 
15 18 23 44 182 
10 24 30 53 159 
3 23 39 137 172 
2 14 90 165 195 
18 24 25 38 169 
6 18 22 108 117 
1 15 22 56 88 
1 8 22 34 74 
2 11 23 24 170 
1 10 54 98 170 
5 7 51 96 147 
12 21 24 70 129 
2 24 81 92 144 
4 10 22 23 144 
4 12 23 25 113 
13 42 84 132 150 
13 17 21 23 148 
2 16 21 44 195 
2 21 22 24 175 
8 37 111 181 195 
13 24 44 91 140 
13 18 25 76 199 
15 20 22 24 80 
14 19 25 74 187 
19 22 24 137 145 
2 14 23 64 164 
11 14 23 154 187 
17 25 83 93 95 
14 131 145 151 161 
4 11 21 23 141 
20 53 144 165 192 
13 20 33 106 169 
11 16 98 164 170 
2 20 38 170 195 
1 20 22 37 125 
11 17 25 124 132 
10 18 23 24 82 
14 25 103 130 135 
13 16 73 113 119 
8 14 21 22 38 
5 19 22 23 188 
11 20 25 140 173 
20 21 23 141 165 
20 22 100 117 192 
13 16 21 151 182 
9 20 22 126 171 
6 21 25 160 188 
4 14 109 131 199 
10 15 91 129 146 
4 6 39 85 155 
18 20 22 33 59 
3 8 22 58 135 
5 23 78 112 197 
5 19 47 77 189 
7 22 25 69 194 
9 21 45 50 76 
2 23 46 93 120 
4 25 52 94 111 
9 10 23 35 97 
13 22 23 24 66 
7 20 23 116 136 
16 21 167 174 176 
1 25 63 95 152 
18 22 24 58 162 
10 23 155 157 174 
10 22 75 95 148 
18 22 24 73 143 
18 70 85 107 111 
12 22 23 66 174 
20 23 24 71 149 
12 17 22 24 171 
6 21 75 118 192 
6 18 22 23 196 
13 15 21 58 163 
16 22 25 103 142 
15 21 83 142 194 
13 16 24 36 167 
8 12 51 105 153 
15 19 24 68 200 
11 25 102 152 194 
4 23 82 133 150 
13 74 140 165 178 
6 21 103 137 170 
2 25 41 173 176 
10 17 21 31 156 
8 24 117 188 199 
14 21 24 58 150 
20 23 24 34 73 
15 24 130 162 164 
18 21 23 114 199 
2 11 45 143 188 
1 18 37 55 95 
4 22 23 25 99 
19 21 133 144 171 
15 21 22 25 118 
13 24 60 169 178 
17 24 153 157 189 
4 20 22 117 153 
9 23 25 53 168 
15 24 60 108 126 
1 91 92 110 162 
6 79 93 148 157 
4 21 66 150 164 
13 18 22 24 25 
9 68 152 175 187 
8 21 137 152 172 
8 18 45 61 153 
10 16 23 35 94 
12 19 22 25 127 
9 10 23 24 137 
1 18 67 139 182 
4 24 47 81 100 
4 5 21 24 130 
2 11 70 121 193 
2 7 22 23 105 
8 21 24 117 151 
3 18 25 82 137 
17 23 24 131 157 
15 24 132 163 185 
11 25 70 156 167 
11 18 22 24 61 
13 15 24 25 94 
5 48 86 135 142 
19 20 25 82 136 
9 18 21 184 197 
13 16 21 22 189 
5 21 22 66 86 
13 51 136 155 181 
11 21 23 24 170 
4 23 24 58 182 
1 18 62 171 176 
19 24 25 27 43 
1 13 25 146 160 
7 17 23 61 159 
3 11 21 24 57 
1 24 52 103 112 
16 17 44 195 200 
1 22 33 122 181 
9 21 57 112 196 
12 29 49 62 179 
7 15 53 119 180 
14 15 22 47 150 
4 12 21 86 115 
2 39 52 77 166 
15 16 24 64 160 
1 11 21 22 160 
6 7 21 24 119 
9 15 31 79 82 
1 22 49 109 144 
6 50 93 162 170 
13 18 25 102 113 
9 114 121 136 176 
18 24 41 70 160 
12 19 25 31 182 
11 23 33 103 106 
1 74 150 182 183 
6 24 82 158 198 
16 57 92 157 193 
8 21 109 112 177 
6 15 71 130 160 
6 12 21 22 105 
17 21 22 99 179 
7 22 23 109 124 
15 22 24 95 111 
8 19 50 118 181 
4 10 45 69 89 
7 14 37 115 127 
6 14 80 99 153 
3 5 22 110 179 
4 25 72 163 179 
6 21 24 94 109 
5 23 159 177 197 
15 22 120 122 185 
19 21 22 23 24 
1 6 23 93 185 
14 68 69 133 134 
7 12 22 23 166 
7 18 32 36 174 
12 21 86 88 140 
7 16 46 117 157 
7 21 23 130 146 
1 22 24 125 172 
8 13 23 25 59 
13 23 25 159 199 
12 22 23 41 91 
17 21 57 123 175 
20 21 22 23 50 
14 21 23 82 160 
20 24 52 165 184 
4 18 23 24 77 
14 22 25 27 94 
6 12 25 59 194 
7 28 65 110 124 
12 20 24 26 160 
